english,santhali
"I am tying my shoelaces.   ","ᱤᱧ ᱤᱧᱟᱜ ᱯᱟᱱᱟᱦᱤ ᱨᱮᱭᱟᱜ ᱯᱟᱛᱟ ᱵᱟᱱᱫᱷᱟᱣ ᱮᱫᱟᱹᱧ ᱾ "
"We are preparing breakfast.   ","ᱟᱞᱮ ᱫᱚ ᱵᱟᱹᱥᱠᱟᱹᱜ ᱡᱚᱢᱟᱜ ᱞᱮ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟ᱾ "
"The phone is ringing.   ","ᱯᱷᱚᱱ ᱵᱟᱡᱟᱣ ᱠᱟᱱᱟ ᱾ "
"He is eating a banana.   ","ᱩᱱᱤ ᱠᱮᱞᱟ ᱡᱚᱢ ᱠᱟᱱᱟᱭ ᱾ "
"She is helping her brother.   ","ᱩᱱᱤ ᱟᱡ ᱵᱚᱭᱦᱟ ᱜᱚᱲᱚ ᱮᱫᱮᱭᱟᱭ ᱾ "
"I am closing my notebook.   ","ᱤᱧ ᱤᱧᱟᱜ ᱱᱚᱴᱵᱚᱦᱤ ᱵᱚᱱᱫᱚ ᱮᱫᱟᱹᱧ ᱾ "
"They are listening to the teacher.   ","ᱩᱱᱠᱩ ᱢᱟᱪᱮᱛ ᱟᱜ ᱠᱟᱛᱷᱟ ᱠᱚ ᱟᱸᱡᱚᱢ ᱮᱫᱟ᱾ "
"He is learning a new language.   ","ᱩᱱᱤ ᱱᱟᱶᱟ ᱯᱟᱹᱨᱥᱤ ᱪᱮᱫᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"She wrote a letter to her friend.   ","ᱩᱱᱤ ᱟᱡ ᱨᱮᱱ ᱜᱟᱛᱮ ᱴᱷᱮᱱ ᱢᱤᱫ ᱪᱤᱴᱷᱤ ᱚᱞ ᱠᱮᱫᱟᱭ ᱾ "
"I am opening my laptop.   ","ᱤᱧ ᱤᱧᱟᱜ ᱞᱮᱯᱴᱚᱯ ᱡᱷᱤᱡᱽ ᱮᱫᱟᱹᱧ ᱾ "
"We are celebrating the festival.   ","ᱟᱞᱮ ᱯᱚᱨᱚᱵ ᱞᱮ ᱢᱟᱱᱟᱣ ᱮᱫᱟ᱾ "
"The sun is shining brightly.   ","ᱥᱤᱛᱩᱢ ᱫᱚ ᱛᱮᱡᱽᱞᱟᱜ ᱛᱮ ᱡᱷᱟᱞᱠᱟᱣᱜ ᱠᱟᱱᱟ ᱾ "
"He is buying vegetables from the market.   ","ᱩᱱᱤ ᱵᱟᱡᱟᱨ ᱠᱷᱚᱱ ᱩᱛᱩ ᱡᱤᱱᱤᱥ ᱠᱤᱨᱤᱧ ᱠᱟᱱᱟᱭ ᱾ "
"She is drawing a tree.   ","ᱩᱱᱤ ᱢᱤᱫ ᱫᱟᱨᱮ ᱟᱸᱠᱟᱣ ᱮᱫᱟᱭ ᱾ "
"I am cleaning the blackboard.   ","ᱤᱧ ᱦᱮᱸᱫᱮ ᱵᱚᱨᱰ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱹᱧ ᱾ "
"They are playing in the garden.   ","ᱩᱱᱠᱩ ᱵᱟᱜᱟᱱ ᱨᱮᱠᱚ ᱠᱷᱮᱞᱚᱜ ᱠᱟᱱᱟ᱾ "
"He is standing near the door.   ","ᱩᱱᱤ ᱫᱩᱣᱟᱹᱨ ᱥᱩᱨ ᱨᱮ ᱛᱤᱸᱜᱩ ᱟᱠᱟᱱᱟᱭ ᱾ "
"She washed the dishes.   ","ᱩᱱᱤ ᱛᱷᱟᱹᱨᱤ ᱠᱚ ᱟᱹᱵᱩᱠ ᱠᱮᱫᱟᱭ ᱾ "
"I am searching for my keys.   ","ᱤᱧ ᱤᱧᱟᱜ ᱪᱟᱵᱷᱤ ᱠᱚᱧ ᱯᱟᱱᱛᱮ ᱮᱫᱟ᱾ "
"We are watching the sunset.   ","ᱟᱞᱮ ᱥᱤᱛᱩᱝ ᱧᱩᱨᱩᱜ ᱞᱮ ᱧᱮᱞ ᱮᱫᱟ᱾ "
"The birds are chirping.   ","ᱪᱮᱬᱮ ᱠᱚ ᱪᱤᱪᱤ ᱠᱟᱱᱟ ᱠᱚ ᱾ "
"He is wearing sunglasses.   ","ᱩᱱᱤ ᱫᱚ ᱥᱟᱱᱜᱞᱟᱥ ᱦᱚᱨᱚᱜ ᱟᱠᱟᱫᱟᱭ ᱾ "
"She is picking flowers.   ","ᱩᱱᱤ ᱵᱟᱦᱟ ᱵᱟᱪᱷᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"I am sweeping the floor.   ","ᱤᱧ ᱚᱛ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱹᱧ ᱾ "
"They are repairing the car.   ","ᱩᱱᱠᱩ ᱠᱟᱨ ᱠᱚ ᱵᱟᱱᱟᱣ ᱮᱫᱟ᱾ "
"He is feeding the chickens.   ","ᱩᱱᱤ ᱥᱤᱢ ᱠᱚ ᱡᱚᱢ ᱚᱪᱚ ᱠᱚᱣᱟᱭ ᱾ "
"She is organizing her desk.   ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱰᱮᱥᱠ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟᱭ ᱾ "
"I am folding my clothes.   ","ᱤᱧ ᱤᱧᱟᱜ ᱠᱤᱪᱨᱤᱡ ᱞᱟᱹᱴᱩᱢ ᱮᱫᱟᱹᱧ ᱾ "
"We are talking about our plans.   ","ᱟᱞᱮ ᱟᱞᱮᱭᱟᱜ ᱯᱚᱱᱛᱷᱟ ᱵᱟᱨᱮᱛᱮ ᱞᱮ ᱨᱚᱯᱚᱲ ᱠᱟᱱᱟ᱾ "
"The teacher is reading aloud.   ","ᱢᱟᱪᱮᱛ ᱟᱹᱰᱤ ᱟᱲᱟᱝ ᱛᱮ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"He is drinking cold water.   ","ᱩᱱᱤ ᱨᱮᱭᱟᱲ ᱫᱟᱜ ᱧᱩᱭ ᱠᱟᱱᱟᱭ ᱾ "
"She is sitting near the window.   ","ᱩᱱᱤ ᱡᱷᱚᱨᱠᱟ ᱥᱩᱨ ᱨᱮ ᱫᱩᱲᱩᱵ ᱟᱠᱟᱱᱟᱭ ᱾ "
"I am visiting the library.   ","ᱤᱧ ᱞᱟᱭᱵᱨᱮᱨᱤ ᱧᱮᱞ ᱨᱮ ᱢᱤᱱᱟᱹᱧᱟ᱾ "
"They are playing musical instruments.   ","ᱩᱱᱠᱩ ᱥᱮᱨᱮᱧ ᱵᱟᱡᱟᱱ ᱠᱚ ᱨᱩᱭ ᱠᱟᱱᱟ ᱾ "
"He built a small house.   ","ᱩᱱᱤ ᱢᱤᱫ ᱦᱩᱰᱤᱧ ᱚᱲᱟᱜ ᱵᱟᱱᱟᱣ ᱠᱮᱫᱟᱭ ᱾ "
"She is watering the garden.   ","ᱩᱱᱤ ᱵᱟᱜᱟᱱ ᱨᱮ ᱫᱟᱜ ᱮᱢᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"I am opening the curtain.   ","ᱤᱧ ᱯᱚᱨᱫᱟ ᱡᱷᱤᱡᱽ ᱮᱫᱟᱹᱧ ᱾ "
"We are enjoying the rain.   ","ᱟᱞᱮ ᱡᱟ.ᱯᱩᱫ ᱨᱮᱱᱟᱜ ᱨᱟ.ᱥᱠᱟ. ᱞᱮ ᱦᱟᱛᱟᱣ ᱮᱫᱟ᱾ "
"The children are clapping their hands.   ","ᱜᱤᱫᱽᱨᱟᱹ ᱠᱚ ᱛᱤ ᱠᱚ ᱛᱟᱞᱟ ᱮᱫᱟ᱾ "
"He is fixing his mobile phone.   ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱢᱚᱵᱟᱭᱤᱞ ᱯᱷᱚᱱ ᱴᱷᱤᱠ ᱮᱫᱟᱭ ᱾ "
"She wrote a storybook.   ","ᱩᱱᱤ ᱢᱤᱫ ᱠᱟᱹᱦᱱᱤ ᱯᱚᱛᱚᱵ ᱚᱞ ᱠᱮᱫᱟᱭ ᱾ "
"I am charging my phone.   ","ᱤᱧ ᱤᱧᱟᱜ ᱯᱷᱚᱱ ᱪᱟᱨᱡᱽ ᱮᱫᱟᱹᱧ ᱾ "
"They are cooking rice and curry.   ","ᱩᱱᱠᱩ ᱫᱟᱠᱟ ᱟᱨ ᱵᱮᱨᱤ ᱠᱚ ᱤᱥᱤᱱ ᱮᱫᱟ᱾ "
"He is cleaning the mirror.   ","ᱩᱱᱤ ᱟᱹᱨᱥᱤ ᱮ ᱥᱟᱯᱷᱟ ᱮᱫᱟ᱾ "
"She is walking to the market.   ","ᱩᱱᱤ ᱵᱟᱡᱟᱨ ᱥᱮᱫ ᱛᱟᱲᱟᱢ ᱠᱟᱱᱟᱭ ᱾ "
"I am closing the gate.   ","ᱤᱧ ᱜᱮᱴ ᱵᱚᱱᱫᱚ ᱮᱫᱟᱹᱧ ᱾ "
"We are washing the car.   ","ᱟᱞᱮ ᱠᱟᱨ ᱞᱮ ᱟᱹᱵᱩᱠ ᱮᱫᱟ᱾ "
"The baby is sleeping.   ","ᱜᱤᱫᱽᱨᱟᱹ ᱫᱚ ᱡᱟᱹᱯᱤᱫ ᱠᱟᱱᱟᱭ ᱾ "
"He is helping his friend.   ","ᱩᱱᱤ ᱟᱡ ᱨᱮᱱ ᱜᱟᱛᱮ ᱜᱚᱲᱚ ᱟᱫᱮᱭᱟᱭ ᱾ "
"She is lighting a candle.   ","ᱩᱱᱤ ᱢᱤᱫ ᱢᱚᱢ ᱵᱟᱹᱛᱤ ᱡᱷᱟᱞᱠᱟᱣ ᱮᱫᱟᱭ ᱾ "
"I am going for a walk.   ","ᱤᱧ ᱛᱟᱲᱟᱢ ᱞᱟᱹᱜᱤᱫ ᱤᱧ ᱥᱮᱱᱚᱜ ᱠᱟᱱᱟ᱾ "
"They are painting their house.   ","ᱩᱱᱠᱩ ᱟᱠᱚᱣᱟᱜ ᱚᱲᱟᱜ ᱠᱚ ᱨᱚᱝ ᱮᱫᱟ᱾ "
"I’m boiling water for tea. ","ᱤᱧ ᱪᱟ ᱞᱟᱹᱜᱤᱫ ᱫᱟᱜ ᱩᱰᱩᱝ ᱮᱫᱟᱹᱧ ᱾ "
"She is sketching a mountain scene. ","ᱩᱱᱤ ᱢᱤᱫ ᱵᱩᱨᱩ ᱥᱤᱱ ᱮ ᱥᱠᱮᱪ ᱮᱫᱟ᱾ "
"We are organizing a charity event. ","ᱟᱞᱮ ᱢᱤᱫ ᱪᱮᱨᱤᱴᱤ ᱤᱵᱷᱮᱱᱴ ᱞᱮ ᱵᱟᱱᱟᱣ ᱮᱫᱟ᱾ "
"He is installing a new app. ","ᱩᱱᱤ ᱢᱤᱫ ᱱᱟᱶᱟ ᱮᱯ ᱤᱱᱥᱴᱚᱞ ᱮᱫᱟᱭ ᱾ "
"I’m cleaning out my inbox. ","ᱤᱧ ᱤᱧᱟᱜ ᱤᱱᱵᱚᱠᱥ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱹᱧ ᱾ "
"She is reading a fashion magazine. ","ᱩᱱᱤ ᱢᱤᱫ ᱯᱷᱮᱥᱚᱱ ᱯᱟᱛᱷᱟᱢ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"We are visiting a historical monument. ","ᱟᱞᱮ ᱢᱤᱫ ᱱᱟᱜᱟᱢᱤᱭᱟᱹ ᱥᱤᱢᱟᱹ ᱞᱮ ᱧᱮᱞ ᱮᱫᱟ᱾ "
"He is sorting his travel photos. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱫᱟᱲᱟᱱ ᱪᱤᱛᱟᱹᱨ ᱠᱚ ᱵᱟᱪᱷᱟᱣ ᱮᱫᱟᱭ ᱾ "
"I’m updating my profile picture. ","ᱤᱧ ᱤᱧᱟᱜ ᱯᱨᱚᱯᱷᱟᱭᱤᱞ ᱪᱤᱛᱟᱹᱨ ᱟᱯᱰᱮᱴ ᱮᱫᱟᱹᱧ ᱾ "
"She is practicing her speech. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱟᱲᱟᱝ ᱨᱮᱭᱟᱜ ᱯᱨᱮᱠᱴᱤᱥ ᱮᱫᱟᱭ ᱾ "
"We are watching a thriller movie. ","ᱟᱞᱮ ᱢᱤᱫ ᱛᱷᱨᱤᱞᱟᱨ ᱯᱷᱤᱞᱤᱢ ᱞᱮ ᱧᱮᱞ ᱮᱫᱟ᱾ "
"He is folding the laundry. ","ᱩᱱᱤ ᱫᱚ ᱞᱚᱱᱰᱨᱤ ᱞᱟᱹᱴᱩᱢ ᱮᱫᱟᱭ ᱾ "
"I’m backing up my files. ","ᱤᱧ ᱤᱧᱟᱜ ᱨᱮᱫ ᱠᱚ ᱵᱮᱠ ᱟᱯ ᱮᱫᱟᱹᱧ ᱾ "
"She is watering the indoor plants. ","ᱩᱱᱤ ᱫᱚ ᱚᱲᱟᱜ ᱵᱷᱤᱛᱨᱤ ᱨᱮᱭᱟᱜ ᱫᱟᱨᱮ ᱠᱚ ᱫᱟᱜ ᱮ ᱮᱢᱟ ᱠᱚᱣᱟ ᱾ "
"We are setting up the projector screen. ","ᱟᱞᱮ ᱯᱨᱚᱡᱮᱠᱴᱚᱨ ᱥᱠᱨᱤᱱ ᱞᱮ ᱥᱮᱴ ᱟᱯ ᱮᱫᱟ᱾ "
"He is checking the train schedule. ","ᱩᱱᱤ ᱴᱨᱮᱱ ᱥᱮᱰᱭᱩᱞ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
"I’m writing a grocery list. ","ᱤᱧ ᱫᱚ ᱢᱤᱫ ᱜᱽᱨᱚᱥᱟᱨᱤ ᱛᱟᱞᱠᱟ ᱚᱞ ᱮᱫᱟᱹᱧ ᱾ "
"She is baking banana bread. ","ᱩᱱᱤ ᱠᱮᱞᱟ ᱯᱤᱴᱷᱟᱹ ᱥᱮᱠᱤᱝ ᱮᱫᱟᱭ ᱾ "
"We are planning a family reunion. ","ᱟᱞᱮ ᱫᱚ ᱜᱷᱟᱨᱚᱧᱡᱽ ᱫᱚᱦᱲᱟ ᱧᱟᱯᱟᱢ ᱨᱮᱭᱟᱜ ᱞᱮ ᱯᱞᱟᱱ ᱮᱫᱟ᱾ "
"He is painting the garage door. ","ᱩᱱᱤ ᱜᱮᱨᱮᱡᱽ ᱫᱩᱣᱟᱹᱨ ᱨᱚᱝ ᱮᱫᱟᱭ ᱾ "
"I’m making a to-do list. ","ᱤᱧ ᱢᱤᱫ ᱠᱟᱹᱢᱤ ᱛᱟᱞᱠᱟ ᱵᱮᱱᱟᱣ ᱮᱫᱟᱹᱧ ᱾ "
"She is doing stretching exercises. ","ᱩᱱᱤ ᱫᱚ ᱥᱴᱨᱮᱪᱤᱝ ᱮᱠᱥᱟᱨᱥᱟᱭᱤᱡᱽ ᱠᱚᱨᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"We are decorating the hallway. ","ᱟᱞᱮ ᱦᱚᱞᱣᱮ ᱞᱮ ᱥᱟᱡᱟᱣ ᱮᱫᱟ᱾ "
"He is cleaning his camera lens. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱠᱮᱢᱨᱟ ᱞᱮᱱᱥ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱭ ᱾ "
"I’m preparing a presentation. ","ᱤᱧ ᱢᱤᱫ ᱯᱨᱮᱡᱮᱱᱴᱮᱥᱚᱱ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟᱹᱧ ᱾ "
"She is brushing the cat. ","ᱩᱱᱤ ᱯᱩᱥᱤ ᱵᱽᱨᱟᱥ ᱮᱫᱮᱭᱟᱭ ᱾ "
"We are walking to the bakery. ","ᱟᱞᱮ ᱵᱮᱠᱟᱨᱤ ᱥᱮᱫ ᱞᱮ ᱛᱟᱲᱟᱢ ᱮᱫᱟ᱾ "
"He is listening to jazz music. ","ᱩᱱᱤ ᱡᱟᱡᱽ ᱥᱮᱨᱮᱧ ᱟᱸᱡᱚᱢ ᱠᱟᱱᱟᱭ ᱾ "
"I’m organizing my bookmarks. ","ᱤᱧ ᱤᱧᱟᱜ ᱵᱩᱠᱢᱟᱨᱠ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟᱹᱧ ᱾ "
"She is cooking pasta and sauce. ","ᱩᱱᱤ ᱯᱟᱥᱛᱟ ᱟᱨ ᱪᱟᱴᱱᱤ ᱤᱥᱤᱱ ᱮᱫᱟᱭ ᱾ "
"We are rearranging the living room. ","ᱟᱞᱮ ᱫᱚ ᱛᱟᱦᱮᱱ ᱠᱟᱸᱫᱷᱟ ᱫᱚᱦᱲᱟ ᱥᱟᱹᱭᱛᱟᱹᱣ ᱮᱫᱟ ᱞᱮ ᱾ "
"He is vacuuming the carpet. ","ᱩᱱᱤ ᱠᱟᱨᱯᱮᱴ ᱣᱮᱠᱭᱩᱢ ᱮᱫᱟᱭ ᱾ "
"I’m reading a novel. ","ᱤᱧ ᱢᱤᱫ ᱜᱟᱢᱟᱢ ᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱮᱫᱟ᱾ "
"She is ironing the tablecloth. ","ᱩᱱᱤ ᱴᱮᱵᱩᱞ ᱠᱤᱪᱨᱤᱡ ᱤᱥᱛᱨᱤ ᱮᱫᱟᱭ ᱾ "
"We are packing for school. ","ᱟᱞᱮ ᱟᱥᱲᱟ ᱞᱟᱹᱜᱤᱫ ᱞᱮ ᱯᱮᱠᱤᱝ ᱮᱫᱟ᱾ "
"He is checking his credit card bill. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱠᱨᱮᱰᱤᱴ ᱠᱟᱨᱰ ᱵᱤᱞ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
"I’m updating my password. ","ᱤᱧ ᱤᱧᱟᱜ ᱯᱟᱥᱣᱟᱨᱰ ᱟᱯᱰᱮᱴ ᱮᱫᱟᱹᱧ ᱾ "
"She is feeding the fish. ","ᱩᱱᱤ ᱦᱟᱹᱠᱩ ᱡᱚᱢ ᱚᱪᱚ ᱠᱚᱣᱟᱭ ᱾ "
"We are building a birdhouse. ","ᱟᱞᱮ ᱫᱚ ᱪᱮᱬᱮ ᱚᱲᱟᱜ ᱞᱮ ᱵᱟᱱᱟᱣ ᱮᱫᱟ᱾ "
"He is warming up before running. ","ᱩᱱᱤ ᱧᱤᱨ ᱞᱟᱦᱟᱨᱮ ᱩᱨᱜᱩᱢᱚᱜ ᱠᱟᱱᱟᱭ ᱾ "
"I’m writing a short story. ","ᱤᱧ ᱢᱤᱫ ᱠᱷᱟᱴᱚ ᱠᱟᱹᱦᱱᱤ ᱚᱞ ᱮᱫᱟᱹᱧ ᱾ "
"She is watching a makeup tutorial. ","ᱩᱱᱤ ᱢᱮᱠᱟᱯ ᱴᱩᱴᱳᱨᱤᱭᱟᱞ ᱧᱮᱞ ᱠᱟᱱᱟᱭ ᱾ "
"We are planting herbs in the garden. ","ᱟᱞᱮ ᱵᱟᱜᱟᱱ ᱨᱮ ᱡᱟᱹᱲᱤ ᱵᱩᱴᱤ ᱞᱮ ᱨᱚᱦᱚᱭ ᱮᱫᱟ᱾ "
"He is cleaning the bathroom mirror. ","ᱩᱱᱤ ᱵᱟᱛᱷᱨᱩᱢ ᱨᱮᱭᱟᱜ ᱟᱹᱨᱥᱤ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱭ ᱾ "
"I’m making a vegetable soup. ","ᱤᱧ ᱫᱚ ᱩᱛᱩ ᱡᱤᱱᱤᱥ ᱥᱩᱯ ᱤᱧ ᱵᱮᱱᱟᱣ ᱮᱫᱟ᱾ "
"She is drawing a fantasy creature. ","ᱩᱱᱤ ᱢᱤᱫ ᱯᱷᱟᱱᱴᱟᱥᱤ ᱡᱤᱣᱤ ᱪᱤᱛᱟᱹᱨ ᱮ ᱪᱤᱛᱟᱹᱨ ᱮᱫᱟ᱾ "
"We are fixing the broken shelf. ","ᱟᱞᱮ ᱨᱟᱹᱯᱩᱫ ᱥᱮᱞᱯᱷ ᱞᱮ ᱴᱷᱤᱠ ᱮᱫᱟ᱾ "
"He is polishing the table. ","ᱩᱱᱤ ᱴᱮᱵᱩᱞ ᱯᱚᱞᱤᱥ ᱮᱫᱟᱭ ᱾ "
"I’m reviewing the budget. ","ᱤᱧ ᱵᱟᱡᱮᱴ ᱧᱮᱞ ᱫᱚᱦᱚ ᱮᱫᱟᱹᱧ ᱾ "
"She is sewing a patch. ","ᱩᱱᱤ ᱢᱤᱫ ᱯᱮᱪ ᱥᱤᱞ ᱠᱟᱱᱟᱭ ᱾ "
"We are preparing dinner together. ","ᱟᱞᱮ ᱢᱤᱫ ᱥᱟᱶᱛᱮ ᱠᱮᱫᱚᱜ ᱡᱚᱢᱟᱜ ᱞᱮ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟ᱾ "
"He is checking the oil level. ","ᱩᱱᱤ ᱥᱩᱱᱩᱢ ᱞᱮᱵᱮᱞ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
"I’m folding the bed sheets. ","ᱤᱧ ᱵᱮᱰ ᱥᱤᱴ ᱠᱚ ᱞᱟᱹᱴᱩᱢ ᱮᱫᱟᱹᱧ ᱾ "
"She is organizing her jewelry. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱜᱮᱦᱱᱟ ᱠᱚ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟᱭ ᱾ "
"We are painting the garage walls. ","ᱟᱞᱮ ᱜᱮᱨᱮᱡᱽ ᱵᱷᱤᱛ ᱨᱚᱝ ᱮᱫᱟ ᱞᱮ ᱾ "
"He is reading the sports section. ","ᱩᱱᱤ ᱠᱷᱮᱞ ᱛᱷᱚᱠ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"I’m cleaning the fridge. ","ᱤᱧ ᱯᱷᱨᱤᱡᱽ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱹᱧ ᱾ "
"She is making iced tea. ","ᱩᱱᱤ ᱟᱭᱤᱥᱰ ᱪᱟᱭ ᱵᱮᱱᱟᱣ ᱮᱫᱟ᱾ "
"We are sorting the recycling. ","ᱟᱞᱮ ᱨᱤᱥᱟᱭᱠᱞᱤᱝ ᱞᱮ ᱵᱟᱪᱷᱟᱣ ᱮᱫᱟ᱾ "
"He is updating his planner. ","ᱩᱱᱤ ᱟᱡᱟᱜ ᱯᱞᱟᱱᱟᱨ ᱟᱯᱰᱮᱴ ᱮᱫᱟᱭ ᱾ "
"I’m checking the delivery status. ","ᱤᱧ ᱰᱮᱞᱤᱵᱷᱟᱨᱤ ᱥᱴᱮᱴᱟᱥ ᱧᱮᱞ ᱮᱫᱟᱹᱧ ᱾ "
"She is wrapping the gifts. ","ᱩᱱᱤ ᱥᱤᱨᱯᱟᱹ ᱠᱚ ᱵᱮᱫᱷᱟᱣ ᱮᱫᱟᱭ ᱾ "
"We are planning a beach trip. ","ᱟᱞᱮ ᱫᱚᱨᱭᱟ ᱟᱲᱮ ᱫᱟᱬᱟᱱ ᱞᱮ ᱯᱞᱟᱱ ᱮᱫᱟ᱾ "
"He is sharpening the knives. ","ᱩᱱᱤ ᱪᱟᱹᱠᱷᱩ ᱠᱚ ᱞᱟᱥᱮᱨ ᱮᱫᱟᱭ ᱾ "
"I’m scanning the documents. ","ᱤᱧ ᱫᱚ ᱰᱚᱠᱭᱩᱢᱮᱱᱴ ᱠᱚ ᱥᱠᱮᱱ ᱮᱫᱟᱹᱧ ᱾ "
"She is labeling the boxes. ","ᱩᱱᱤ ᱵᱟᱠᱥᱚ ᱠᱚ ᱞᱮᱵᱮᱞ ᱮᱫᱟᱭ ᱾ "
"We are washing the car. ","ᱟᱞᱮ ᱠᱟᱨ ᱞᱮ ᱟᱹᱵᱩᱠ ᱮᱫᱟ᱾ "
"He is hanging the curtains. ","ᱩᱱᱤ ᱯᱚᱨᱫᱟ ᱞᱟᱴᱷᱟ ᱮᱫᱟᱭ ᱾ "
"I’m saving the spreadsheet. ","ᱤᱧ ᱥᱯᱨᱮᱰᱥᱤᱴ ᱥᱟᱧᱪᱟᱣ ᱮᱫᱟᱹᱧ ᱾ "
"She is sketching a butterfly. ","ᱩᱱᱤ ᱢᱤᱫ ᱥᱤᱛᱩᱝ ᱯᱷᱞᱟᱭ ᱥᱠᱮᱪ ᱮᱫᱟᱭ ᱾ "
"We are tidying the hallway. ","ᱟᱞᱮ ᱦᱚᱞᱣᱮ ᱞᱮ ᱥᱟᱯᱷᱟ ᱮᱫᱟ᱾ "
"He is adjusting the blinds. ","ᱩᱱᱤ ᱵᱞᱟᱭᱤᱱᱰ ᱮ ᱮᱰᱡᱟᱥᱴ ᱮᱫᱟ᱾ "
"I’m copying the presentation slides. ","ᱤᱧ ᱫᱚ ᱯᱨᱮᱡᱮᱱᱴᱮᱥᱚᱱ ᱥᱞᱟᱭᱤᱰ ᱠᱚ ᱱᱚᱠᱚᱞ ᱮᱫᱟᱹᱧ ᱾ "
"She is folding the tablecloths. ","ᱩᱱᱤ ᱴᱮᱵᱩᱞ ᱠᱤᱪᱨᱤᱡ ᱞᱟᱹᱴᱩᱢ ᱮᱫᱟᱭ ᱾ "
"We are organizing the storage room. ","ᱟᱞᱮ ᱫᱚ ᱥᱴᱚᱨᱮᱡᱽ ᱨᱩᱢ ᱞᱮ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟ᱾ "
"He is checking the air conditioner. ","ᱩᱱᱤ ᱮᱭᱟᱨ ᱠᱟᱱᱰᱤᱥᱚᱱᱟᱨ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
"I’m cleaning the chalkboard. ","ᱤᱧ ᱪᱚᱠᱵᱚᱨᱰ ᱥᱟᱯᱷᱟ ᱮᱫᱟᱹᱧ ᱾ "
"She is making a fruit smoothie. ","ᱩᱱᱤ ᱫᱚ ᱡᱚ ᱥᱢᱩᱛᱷᱤ ᱵᱮᱱᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
"We are preparing the camping gear. ","ᱟᱞᱮ ᱠᱮᱢᱯᱤᱝ ᱜᱤᱭᱟᱨ ᱞᱮ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟ᱾ "
"He is fixing the cabinet door. ","ᱩᱱᱤ ᱠᱮᱵᱤᱱᱮᱴ ᱫᱩᱣᱟᱹᱨ ᱮ ᱴᱷᱤᱠ ᱮᱫᱟ᱾ "
"I’m updating the phone contacts. ","ᱤᱧ ᱯᱷᱚᱱ ᱠᱚᱱᱴᱟᱠᱴ ᱠᱚ ᱟᱯᱰᱮᱴ ᱮᱫᱟᱹᱧ ᱾ "
"She is painting a landscape. ","ᱩᱱᱤ ᱢᱤᱫ ᱞᱮᱱᱰᱥᱠᱮᱯ ᱨᱚᱝ ᱮᱫᱟᱭ ᱾ "
"We are setting up the sound system. ","ᱟᱞᱮ ᱥᱟᱣᱩᱱᱰ ᱥᱤᱥᱴᱚᱢ ᱞᱮ ᱥᱮᱴ ᱟᱯ ᱮᱫᱟ᱾ "
"He is checking the room temperature. ","ᱩᱱᱤ ᱠᱟᱱᱫᱷᱟ ᱨᱮᱭᱟᱜ ᱞᱚᱞᱚ ᱧᱮᱞ ᱧᱮᱞ ᱮᱫᱟᱭ ᱾ "
"I’m organizing the toolbox. ","ᱤᱧ ᱴᱩᱞᱵᱚᱠᱥ ᱥᱟᱯᱲᱟᱣ ᱮᱫᱟᱹᱧ ᱾ "
"She is baking a tart. ","ᱩᱱᱤ ᱢᱤᱫ ᱴᱟᱨᱴ ᱥᱮᱠᱟᱣ ᱠᱟᱱᱟᱭ ᱾ "
